Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.05090180360721443,4.467044714003235e-09,1.5734797500237678e-07,5.919627052282395e-07,1.8917408450652311e-06,2.899848433770174e-06,2.5134564333859666e-06
0.05130260521042084,4.682870081622084e-09,1.579762887905221e-07,5.893608624894922e-07,1.868991255640566e-06,2.899805094558714e-06,2.5505178423531663e-06
0.051703406813627256,4.975828532574374e-09,1.608813119178891e-07,5.877551264213212e-07,1.8506349333492847e-06,2.898530362382296e-06,2.5883317791057593e-06
0.052104208416833664,5.327330768329132e-09,1.6562092623774843e-07,5.86571691682198e-07,1.8356704017667399e-06,2.8962329274393835e-06,2.6264075755604546e-06
0.05250501002004008,5.714499714930486e-09,1.7165359579568983e-07,5.856891938198385e-07,1.8230753803398332e-06,2.8929464902036764e-06,2.6636228271073006e-06
0.05290581162324649,6.114458298422556e-09,1.784377846373029e-07,5.849862683819578e-07,1.8118275885154673e-06,2.8887047511488715e-06,2.6988551291363434e-06
0.05330661322645291,6.504329444849457e-09,1.8543195680817713e-07,5.843415509162718e-07,1.800904745740545e-06,2.883541410748668e-06,2.73098207703763e-06
0.053707414829659315,6.861236080255308e-09,1.9209457635390204e-07,5.836336769704958e-07,1.7892845714619686e-06,2.877490169476764e-06,2.7588812662012067e-06
0.05410821643286573,7.162301130684239e-09,1.9788410732006738e-07,5.827412820923455e-07,1.7759447851266405e-06,2.8705847278068576e-06,2.78143029201712e-06
0.054509018036072145,7.384647522180367e-09,2.0225901375226267e-07,5.815430018295364e-07,1.759863106181463e-06,2.862858786212648e-06,2.797506749875419e-06
0.05490981963927856,7.505398180787812e-09,2.0467775969607752e-07,5.799174717297839e-07,1.7400172540733384e-06,2.8543460451678328e-06,2.8059882351661473e-06
0.05531062124248497,7.503466514451036e-09,2.0466613545827643e-07,5.772424869482515e-07,1.7134563384924215e-06,2.839639590865374e-06,2.803785957164461e-06
0.05571142284569138,7.382395205272602e-09,2.0239447691386447e-07,5.708970983845828e-07,1.670362481960254e-06,2.7919190114192804e-06,2.7812026907158965e-06
0.056112224448897796,7.162033826975264e-09,1.982250483652956e-07,5.610156306642782e-07,1.6127689073442353e-06,2.714741375721743e-06,2.7412124817877156e-06
0.05651302605210421,6.8623539063561e-09,1.9249668340120776e-07,5.481849150000022e-07,1.5445338783585339e-06,2.6166090489913045e-06,2.688689274274212e-06
0.05691382765531062,6.503326970212196e-09,1.85548215610239e-07,5.329917826044194e-07,1.4695156587173214e-06,2.50602439644651e-06,2.6285070120696786e-06
0.05731462925851703,6.104924545340619e-09,1.7771847858102695e-07,5.160230646901931e-07,1.3915725121347638e-06,2.3914897833058977e-06,2.565539639068405e-06
0.05771543086172345,5.687118158538453e-09,1.6934630590220971e-07,4.978655924699881e-07,1.3145627023250316e-06,2.281507574788014e-06,2.5046610991646856e-06
0.05811623246492986,5.269879336602777e-09,1.6077053116242513e-07,4.791061971564689e-07,1.242344493002295e-06,2.1845801361114015e-06,2.4507453362528125e-06
0.05851703406813627,4.873179606330676e-09,1.5232998795031135e-07,4.603317099622997e-07,1.1787761478807229e-06,2.109209832494604e-06,2.4086662942270783e-06
0.058917835671342685,4.5169904945192165e-09,1.4436350985450598e-07,4.4212896210014417e-07,1.1277159306744832e-06,2.063899029156162e-06,2.383297916981774e-06
0.0593186372745491,4.216149043366284e-09,1.370776458279536e-07,4.248035334834322e-07,1.0921474704896968e-06,2.054776810087703e-06,2.379346817559881e-06
0.059719438877755514,3.920938953327235e-09,1.2912446150282225e-07,4.054277051003501e-07,1.0634488102337981e-06,2.057336888577991e-06,2.3967601080368677e-06
0.06012024048096192,3.6184062151604283e-09,1.203326292371592e-07,3.8372675301740736e-07,1.0379737771619348e-06,2.0623818170202495e-06,2.4310749951522126e-06
0.060521042084168336,3.314488118843363e-09,1.110442893542448e-07,3.6053529331976176e-07,1.0151442472065313e-06,2.0692498690685732e-06,2.477790510235918e-06
0.06092184368737475,3.015121954353553e-09,1.016015821773599e-07,3.366879420925718e-07,9.94382096300013e-07,2.0772793183770573e-06,2.532405684617987e-06
0.061322645290581165,2.72624501166851e-09,9.234664802978523e-08,3.130193154209961e-07,9.751092003748044e-07,2.0858084385997966e-06,2.5904195496284217e-06
0.06172344689378757,2.453794580765747e-09,8.362162723480159e-08,2.903640293901935e-07,9.567474353633309e-07,2.094175503390885e-06,2.6473311365972234e-06
0.06212424849699399,2.203707951622765e-09,7.576866011568935e-08,2.6955670008532145e-07,9.387186771980171e-07,2.1017187864044183e-06,2.6986394768543966e-06
0.0625250501002004,1.9819224142170787e-09,6.912988699572942e-08,2.5143194359153883e-07,9.204448018112878e-07,2.1077765612944913e-06,2.739843601729942e-06
